SENTENCE,label(0->Tocxic & 1 -> Non-toxic)
"subhanALLAH! hedayet er upor tika thaka, seta ekta borolokti. alhamdulillah.",1
"subhanALLAH! hedayet paowa r tar upor tika thaka, seta asol niyamat.",1
"subhanALLAH, ekta boro lesson! amar onek kichu shikhte parlam. ALLAH amader sabar dorkar porbe.",1
"subhanALLAH, shotti kotha! hedayet paowa ar tar upor tika thaka, seta amader jibon er shobcheye boro niyamat.",1
subscribe korun pleas,1
sundor,1
sundor udaharan ebong bhalo bhabe bojhano,1
sushthu todonter dabi janai.,1
"sylhet jete voy lage,kokhon ki bole feli, oder abar demag onek oder jaiga niya ",0
sylheti furi khabo ,0
ta ar kon din hoy ma,1
ta to thakbei karon sani r kajgulo o je probhabsali,1
taderke Bangladesh e dhukte dewa hok,1
tapa tap tapa tap ,0
tate amar baal ta chera gelo,0
tdr nobi je 40 ta bessha biye korse,0
tension holei kane headphone lagiye rabindra shuni. jeno hawaye uri,1
test allrounder ranking e uthe aste hobe shuvo kamona,1
thaniya ekhn c.u.d.s.e ,0
thank you tomake,1
that walk (2:00) defines everything,1
"thik,,,",1
tiktoker maire chudi!  ,0
tmdr moto gajakhor k chode,0
tmi barishal er meye ewwww.,0
to apnar duder size koto ,0
"tobe kotha dilam onek beshi agliye rakhbo, thik ager motoi",1
tobuo chokh tole bolbo na khub miss korechi tomay,1
toder manush gulo eto kalo kno,0
"toder moto manus ekdom noshto, kotha bolar manners nai ",0
toder moto nastik khankichoda er jonno musolman der ajk eto bodnam,0
toder news ar mare cudi etodin kane pani dhele chili ar ekhon astechos news chudaite madarchod,0
toder news chnanel er mare chudi madarchod beda ,0
togo desh re chudi ,0
"togo duidare kutta dia chodano dorkar, jaroj khanki magi kothakar ",0
togo momotar phonder pani khas tora,0
"togo re toh ami chudio na ami, rendian kothakar, togo modir dhon kha.. ",0
togo shiva lengta hoia rishider stri der pise douraito ,0
togore keo chude na,0
"toke loose kore chere dise, biyer age prem emoni hoy ",0
toke pitie mara hobe! mark my word!,0
tomadr bou bon ke ordho nengta kore rastay gurale tomadr debota khushi hoy saree pora pet pit gud ber kora rakhle,0
"tomake puroskar dibe , tumi valo result korso",1
tomar creativity ta darun! haha!,1
tomar doggy tar style shondor ,0
tomar hasi ta onek sundor! ekdom moon er moto! soothing!,1
tomar hasite hajar ful phute jay,1
tomar iccha shokti onek boro hote hobe! dhorjo dhoro! ,1
tomar kichu positive mindset thaka dorkar,1
"tomar kotha gulo sunte eto valo lage, mone hoy suntei thaki.",1
tomar kotha shune mon ta onek halka lagche! good luck! ,1
tomar kotha thik,1
tomar moto ei dhon re keu sodeeeeo nah..,0
tomar moto strong and positive personality toiri korte chai. ei video dekhe onek motivation pelam .,1
tomar moton jhola voda na to ,0
tomar recipe diye akta dinner plan korte hobe,1
tomar recipe gulo dekhlei amar pro-level chef hote ichcha kore,1
tomar sahosh dekhe onek bhalo laglo. ,1
"tomar sukh, tomar hathe. ",1
tomra je sadharon manushke jimmi kore bebsha kortecho sheta to ullekh korle na ,0
tomra ki abal dekhte chao aji chole asho abaler id te ,0
tor baper putkir futa diya tormuj dhukamu ,0
tor boner porda fatamu! ,0
"tor chokh 2 ta putkir bhitore vora dimu... pore chokhe khali gu dekhbi, halar gorer hala",0
tor durga mar mukhe amar dhon dhukamu,0
tor erkm chulkani hle tui follow koros kno bokchoda,0
"tor family tao toke nie shorom pabe, bastard ",0
tor gora identity r tor fake standard ekta serious issue,0
tor gora lifestyle r amar real life match kore na,0
tor gora mathar bekar logic ke akta upgrade dorkar,0
tor haat er colour dekh age kalaiyya,0
tor hogar friend kande kere! ,0
"tor kopale bhogowan er kripa to nai! tui jodi maa baba ke fele des, tui shesh",0
tor lulu te ektu morich lagai chudte boltam ar ki ,0
tor ma durga ar radha ke bol amake shukh diye jete ,0
tor ma heda,0
tor ma re kuttay chudchilo naki ei kangaroo!,0
"tor maa-baba jodi dosh koreo, tui shuddho mon niye tader shanti de! krishna bolse, ""parmatma shob dekhe""",0
tor maa-baba ke fele shoshur er ghore thaka ta o tor nijer dhormer biruddhe pabi tui shasti ekdin. nastik er baccha,0
"tor mare tui chod, tor putki tui mar ",0
"tor mayer voda shirish kagoj diya ghoisha dimu, dara tui!",0
tor meyere niye ami khelum! shala malaun er baccha!,0
"tor moto chele society'r cancer, ja shudhu problem create kore ",0
tor moto kala hoile ami ghor theika ber hotam na,0
tor moto neta ke pitiye mere felbo amra!,0
tor mto polar kopale jutar bari mari! ,0
tor mukhe juta mara dorkar ,0
tor naker chidre diya amar moha mullyoban dhon khana dhukaiya dimu! ,0
tor nanir heda shali tui kemne jamal bhuyan k chinos nai seta bol agee,0
tor oi takano tay toh amar shopnodosher karon! ,0
tor puja tor shorir er nich diye de shalir baccha shali,0
tor rokto diya holi khelmu,0
"tor thikana de tor durga madarir chodar! kolija koto boro, ar jane bachi thakle india choli ja",0
"tor timeline e kisui nai tui sala malaun, nahoi bhore ditam",0
tora malaun ra beshi mittha bolish! 2 chamoch beshi bolis!  ,0
tore dhoira jutar bari dbo samne ashish!,0
tore juta marbo magirpola,0
tornanirheda,0
traditional photography er ekta best example! ,1
"tui ekdom shuar er baccha, ekbar face e ashle dekhas ",0
tui ekhane dhormo niye ansos tai tor mare chudi ,0
"tui ekta example, dedication er perfect example!",1
tui ekta shining star! always grow and glow!,1
"tui eta earn korchis, ar sobai to proud!",1
"tui gora hoileo insecure feel korish, tor main problem ta ekhanei",0
"tui gora hoileo insecure feel korish, tor main problem ta ekhanei",0
tui gora hoileo mentality ekta ashol problem.,0
tui graduate ar ami abaro ektu inspiration paisi!,1
"tui graduate, ekhon salary earn korar pala! ",1
"tui korli, ekhon celebrate er pala!",1
tui magi muslim hoiya pujar look chodas,0
tui magir polao maal felos ar magi khas! ,0
tui nijei nijeke bipode felle diyechis! jahannam e pure mrobi tui,0
tui nijeo to ekta chagolchoda tui ogo nia troll korar ke faltu,0
"tui official graduate, mama! ekta big party to dorkar!",1
tui officially ekta graduate! ar ki chai life e!,1
"tui parbi, ekhon ashol jibon shuru! best of luck!",1
tui rohingya khankir pola! chigchong! ,0
tui to ekhon certified berojgar! ,1
tui to muslim na tui eta manos ar na manos ,0
tui to nastik sheta amra sobai jani tui aro nastik er kase bikri hoye gesis,0
tui to officially ektu boro hoye geli! proud moment!,1
tui to pro hoiya geli ekhon! next ki plan,1
tukai sala ekhon korean hairstyle kortese ,0
tumi abal chila abal acho abal thakba ,0
"tumi ato detail e describe korcho je, mone hocche natok ta abar shuru theke sesh porjonto dekhi!",1
tumi baro na 24 bhatari,0
tumi chaile shob korte paro. ,1
tumi ekdom onnorokom ekta manus. ,1
tumi facebook-e chhatrader niye kotukti korba ar polapan tomare chere dibe kotukti ar somalochona ek jinisher noy.,0
"tumi je biriyani ranna koro, eta confirm ekta art form",1
"tumi je emotion ta express korso, seta onekei feel kore but shobai bolte pare na. ",1
"tumi jotota stubborn, doll tar cheyeo beshi determined chilo! ",1
tumi onek porishromi! so sufol pabe ekdin! ,1
tumi onek shundor apu ,1
"tumi oshadharon ekta kaj korecho, best of luck! ",1
tumi pura artist! ei plate ekta painting moto,1
tumi sondhar meghmala,1
tumi sondhar meghmala tumi amar sadh er sadhona,1
"tumi sondhar meghmala, tumi amar nibhrto sadhona, momo bijongogobihari.",1
"tumi thaka lagbena, bal falao! ",0
tur ma baap er pap er foshol magi tui,0
tv gula baal er news dei abal er dol ,0
ugandar naki ,0
ulonggo Bangladesh.,0
un ki shoytaner shongho netanyahu r moto madarchod re fashi te jholano uchit ,0
uni ki boleche,1
upohar samogri sanonde grohon kora hobe,1
vabta chilam aaj theke galagali kormu na ! tobe tor chobi dekhe ami mandarput salarput painnirput bolbo na,0
vai dekhanu namaz poira laav nai..aisob korle iman thake na! dekhan kno ar,0
vai ei post kore apni sylheti vasar guya mere chude dilen,0
vai mukh ta na dekhaile valo hoito ,0
"vai or onek jala, ora lagan jaibo! ",0
valo laglo,1
valo manus howa ekta boro gun. ,1
variation nai khub ekta,1
very impressive!,0
very joyful to me and its flavour will remain ever!,1
very joyful to me and its flavour will remain ever!,1
vitore thaka talent r 44 size dudh kokhono lukanu jay na ,0
vushki vaiba kul pai na she eto manusher tip khay dudhe tao hatipur dudh tar theke boro hoilo kemne,0
vutkir mukh deikha mone hoitese or goya faday dise ,0
wah! ei rokom honest review shune amaro try korte ichcha hocche,1
wah! jene onek anondo laglo,1
wow! chul pora komle r notun chul gajle tar cheye boro upokar ar ki,1
wow! chul pora komle r notun chul gajle tar cheye boro upokar ar ki,1
wow! eita onek shundor lagche! ,1
"wow! eto shundor raat, shotti ekta starry night! fireworks o, samudrer kinaray, sob kichu perfect!",1
yahiya re kutta diye chudano drokar chilo,0
you are a gem. may god bless you with all the strength.,1
